age_cat,dates_diff_in_days,ethnicity,sex,v_score_text
adult,160,African-American,Male,Low
young,736,Caucasian,Male,Medium
adult,242,Caucasian,Male,Low
adult,659,African-American,Male,Low
adult,296,African-American,Male,Medium
adult,9,Caucasian,Male,High
adult,10,African-American,Male,Low
senior,385,Hispanic,Male,Low
adult,12,African-American,Female,Low
adult,302,Caucasian,Male,High
adult,793,African-American,Male,High
young,120,Other,Male,High
adult,187,Caucasian,Male,High
young,114,African-American,Male,Medium
adult,53,Caucasian,Female,Low
adult,73,Hispanic,Female,Medium
adult,114,African-American,Male,Medium
adult,234,African-American,Male,Low
adult,728,African-American,Male,Medium
senior,953,African-American,Male,Low
adult,104,African-American,Male,High
young,321,African-American,Male,Low
senior,170,Caucasian,Female,Low
adult,871,African-American,Male,Low
adult,137,African-American,Male,Low
adult,150,Caucasian,Male,High
young,479,African-American,Male,High
young,426,Caucasian,Female,Medium
young,105,African-American,Male,Medium
adult,221,Caucasian,Male,Medium
adult,399,African-American,Male,Low
adult,416,African-American,Male,Medium
adult,505,Caucasian,Male,Low
young,81,Other,Male,High
young,477,African-American,Male,High
adult,420,Caucasian,Male,Low
young,715,African-American,Male,High
senior,688,Caucasian,Male,Medium
adult,453,African-American,Male,High
adult,391,Caucasian,Male,Low
young,268,African-American,Male,Low
young,142,Other,Male,Medium
adult,720,African-American,Male,High
adult,158,Caucasian,Male,Low
adult,845,African-American,Male,Medium
young,855,African-American,Male,Medium
young,686,African-American,Male,High
young,655,Caucasian,Female,Low
young,252,Caucasian,Male,High
adult,67,Caucasian,Male,Low
adult,163,African-American,Male,Low
senior,62,African-American,Male,Low
young,916,Caucasian,Male,High
adult,491,African-American,Male,High
adult,480,African-American,Male,Medium
adult,893,African-American,Male,Low
adult,187,African-American,Male,High
young,428,African-American,Male,High
adult,160,African-American,Male,Low
adult,203,Hispanic,Male,Low
young,799,African-American,Male,High
senior,401,African-American,Female,Low
young,111,Caucasian,Male,Medium
adult,273,Caucasian,Male,Low
adult,1516,African-American,Male,Low
senior,529,African-American,Male,Low
adult,26,Other,Male,High
adult,233,African-American,Male,Low
young,461,African-American,Male,High
young,541,Asian,Male,Medium
adult,403,African-American,Male,Medium
adult,156,African-American,Male,Low
adult,342,Caucasian,Male,Low
young,625,African-American,Male,High
adult,216,African-American,Male,Medium
young,43,Caucasian,Male,High
adult,610,Caucasian,Male,Low
young,255,African-American,Female,Low
young,239,Caucasian,Female,High
adult,393,African-American,Male,High
adult,270,Caucasian,Female,Low
young,663,Other,Male,Medium
adult,380,African-American,Male,High
young,847,African-American,Male,High
senior,65,African-American,Male,Low
adult,345,Caucasian,Male,Low
adult,136,African-American,Male,Low
adult,177,African-American,Male,High
adult,96,African-American,Male,Low
adult,68,African-American,Male,High
adult,586,African-American,Male,Medium
adult,180,African-American,Male,Medium
adult,496,African-American,Male,Low
adult,833,Caucasian,Male,Low
adult,21,African-American,Male,Low
young,50,African-American,Male,Medium
adult,247,African-American,Male,High
adult,942,African-American,Male,Medium
adult,195,African-American,Male,High
young,733,Hispanic,Female,Low
senior,80,African-American,Male,Low
young,724,Caucasian,Male,Medium
adult,838,African-American,Male,Low
young,739,African-American,Male,Medium
adult,175,African-American,Male,Low
adult,459,African-American,Female,Low
adult,126,African-American,Male,Low
adult,243,African-American,Male,High
adult,257,African-American,Male,Low
young,481,African-American,Male,High
senior,529,Caucasian,Male,Low
senior,76,African-American,Male,Low
young,388,African-American,Male,Low
young,300,African-American,Male,Medium
adult,271,Caucasian,Male,Medium
adult,1257,African-American,Female,Medium
adult,66,African-American,Male,Medium
adult,819,African-American,Male,Low
adult,143,African-American,Male,High
adult,615,Caucasian,Male,Medium
young,1253,African-American,Female,High
adult,789,Native American,Male,Medium
adult,453,African-American,Female,Medium
adult,425,Other,Male,Medium
young,21,African-American,Male,High
adult,496,African-American,Male,Medium
adult,898,African-American,Female,Low
young,82,Other,Male,High
adult,31,African-American,Female,Low
adult,1013,African-American,Male,High
young,353,African-American,Male,High
adult,101,African-American,Female,Medium
adult,52,Caucasian,Male,Medium
senior,33,Caucasian,Male,Low
adult,148,African-American,Male,Medium
adult,549,Caucasian,Male,Low
adult,70,Caucasian,Male,Low
young,71,African-American,Male,Medium
young,830,African-American,Male,Medium
adult,654,Caucasian,Male,Low
adult,208,African-American,Female,Low
adult,51,African-American,Male,Medium
young,698,African-American,Male,Medium
senior,152,African-American,Male,Low
adult,143,Caucasian,Male,Low
adult,185,Other,Male,Low
adult,595,Caucasian,Male,Low
young,315,African-American,Male,Medium
adult,304,African-American,Male,Medium
senior,290,Caucasian,Male,Low
adult,176,African-American,Male,Medium
young,231,Caucasian,Female,Medium
senior,427,Caucasian,Male,Low
adult,124,African-American,Male,High
young,510,Caucasian,Female,High
young,173,Caucasian,Male,High
adult,455,African-American,Male,Medium
adult,52,Hispanic,Male,Low
adult,761,African-American,Male,Medium
adult,157,Caucasian,Female,Low
young,142,Caucasian,Male,High
adult,152,Caucasian,Male,Low
adult,686,Caucasian,Male,Low
adult,416,African-American,Male,Medium
young,5,African-American,Male,High
adult,233,African-American,Male,Medium
young,328,Caucasian,Male,High
adult,1032,African-American,Male,Medium
adult,53,African-American,Male,Low
young,117,Caucasian,Male,Medium
adult,417,Caucasian,Male,Low
senior,191,African-American,Male,Low
adult,274,Caucasian,Male,Low
adult,470,Caucasian,Male,Low
adult,600,African-American,Male,Medium
adult,438,African-American,Male,Medium
young,963,African-American,Male,Low
adult,245,Caucasian,Male,Low
adult,9,African-American,Male,Low
young,785,African-American,Male,Medium
adult,6,African-American,Male,High
adult,22,African-American,Male,Medium
adult,157,African-American,Male,Medium
young,658,Hispanic,Male,Medium
young,171,Hispanic,Male,High
adult,516,African-American,Male,Medium
young,149,African-American,Female,Medium
young,547,African-American,Male,Medium
young,65,Caucasian,Male,High
adult,431,African-American,Male,Low
young,901,African-American,Male,Medium
young,499,African-American,Male,Medium
young,842,Hispanic,Male,Medium
senior,232,Caucasian,Male,Low
senior,102,African-American,Male,Low
adult,581,Caucasian,Male,Low
young,381,Caucasian,Male,Medium
young,213,African-American,Male,Medium
adult,482,Hispanic,Male,Low
adult,143,Caucasian,Male,Medium
young,334,Other,Male,High
adult,596,African-American,Male,Low
young,154,Caucasian,Male,Medium
young,192,Caucasian,Male,Medium
adult,67,African-American,Male,Low
young,882,African-American,Male,Medium
adult,489,African-American,Male,Medium
adult,417,African-American,Female,Low
adult,274,Caucasian,Male,Low
young,522,African-American,Female,Medium
adult,292,African-American,Male,Low
adult,743,Caucasian,Male,Low
senior,3,African-American,Male,Low
young,66,Caucasian,Male,High
adult,75,African-American,Male,Low
young,748,African-American,Male,High
adult,508,Caucasian,Male,Low
adult,1727,African-American,Male,High
adult,421,African-American,Female,Medium
adult,602,Other,Male,Low
adult,283,Caucasian,Male,Medium
young,248,African-American,Male,Low
adult,358,Caucasian,Male,Low
adult,374,Caucasian,Male,Medium
adult,245,Hispanic,Male,Low
young,545,Caucasian,Male,Low
adult,160,African-American,Male,Low
young,119,African-American,Male,Medium
adult,623,African-American,Male,Medium
adult,431,Caucasian,Female,Medium
adult,249,African-American,Male,High
adult,137,African-American,Male,Medium
young,196,Other,Male,High
adult,192,African-American,Male,Low
adult,376,African-American,Male,High
adult,323,Caucasian,Male,Low
young,341,Other,Male,High
adult,336,African-American,Male,Medium
senior,469,Caucasian,Female,Low
senior,452,Caucasian,Male,Low
adult,611,African-American,Male,High
adult,168,African-American,Male,Low
young,217,Caucasian,Male,Low
young,591,Caucasian,Male,Medium
adult,483,African-American,Male,High
adult,107,Caucasian,Male,High
adult,599,African-American,Male,High
adult,369,African-American,Male,Low
young,327,African-American,Female,High
senior,662,African-American,Male,Low
adult,380,Hispanic,Female,Low
adult,361,African-American,Female,Low
adult,69,Caucasian,Male,Low
adult,455,African-American,Female,Medium
adult,215,African-American,Male,Low
adult,151,African-American,Male,High
adult,363,African-American,Male,Medium
senior,51,Other,Male,Low
young,17,African-American,Male,High
young,975,African-American,Female,Medium
adult,577,African-American,Male,High
young,261,African-American,Male,High
adult,112,African-American,Male,Low
senior,893,African-American,Male,High
adult,47,Hispanic,Male,High
adult,113,Other,Male,Low
adult,192,African-American,Female,Low
adult,498,Caucasian,Male,Low
adult,729,African-American,Male,High
senior,667,Caucasian,Male,Low
senior,472,African-American,Male,Low
young,778,Caucasian,Female,Medium
adult,845,Hispanic,Male,Medium
adult,684,Caucasian,Male,Medium
adult,1547,African-American,Male,Low
adult,801,African-American,Female,Low
adult,70,African-American,Male,Low
adult,116,African-American,Male,Medium
young,662,Other,Male,Medium
adult,160,African-American,Female,Low
adult,289,African-American,Male,Medium
adult,145,African-American,Female,Medium
adult,231,Other,Male,Low
adult,89,African-American,Male,Medium
senior,679,Caucasian,Male,Low
adult,240,African-American,Male,Medium
adult,219,Hispanic,Female,Low
adult,403,African-American,Male,Medium
adult,308,Caucasian,Male,Low
adult,991,Hispanic,Male,Low
young,77,African-American,Male,Medium
adult,759,Hispanic,Male,Medium
adult,151,African-American,Male,Low
adult,556,African-American,Male,Low
senior,690,Caucasian,Male,Medium
young,240,Other,Male,Medium
adult,449,Caucasian,Male,Low
young,270,African-American,Male,Medium
young,225,African-American,Male,Medium
senior,1109,African-American,Male,Low
senior,58,Caucasian,Male,Low
adult,773,African-American,Male,High
young,5,African-American,Male,High
senior,388,Hispanic,Male,Low
young,173,Caucasian,Male,Medium
senior,704,African-American,Male,Medium
young,509,Caucasian,Male,High
young,476,Other,Male,High
young,488,African-American,Female,Low
adult,444,African-American,Male,High
senior,760,Caucasian,Male,Low
adult,532,Caucasian,Female,Low
adult,178,Native American,Male,High
adult,277,African-American,Male,Low
adult,507,African-American,Male,Medium
adult,74,African-American,Female,Low
adult,509,African-American,Male,Low
young,202,African-American,Male,Medium
adult,707,Caucasian,Male,Low
senior,439,Hispanic,Male,Low
senior,640,Caucasian,Male,Low
young,16,African-American,Female,Medium
adult,68,African-American,Male,Low
young,163,African-American,Female,High
adult,43,Caucasian,Female,Low
adult,216,Other,Male,Low
adult,381,African-American,Male,High
adult,105,African-American,Male,High
senior,187,Caucasian,Male,Low
young,409,African-American,Male,High
adult,329,Caucasian,Male,Low
adult,747,African-American,Male,Low
adult,568,Native American,Male,Medium
young,273,African-American,Male,High
adult,485,African-American,Male,Low
adult,481,Caucasian,Male,Low
adult,338,African-American,Male,Medium
adult,25,African-American,Male,Medium
young,970,African-American,Male,Medium
adult,1044,African-American,Male,High
adult,307,Hispanic,Male,Medium
senior,76,Caucasian,Male,Low
senior,359,Caucasian,Male,Low
adult,745,African-American,Male,High
adult,364,African-American,Male,Low
young,355,African-American,Male,Medium
young,205,Caucasian,Male,Medium
adult,470,African-American,Female,Low
senior,361,African-American,Male,Low
young,429,Hispanic,Female,Medium
adult,493,African-American,Female,Low
adult,15,Caucasian,Male,Low
adult,506,African-American,Female,Low
young,541,Hispanic,Male,High
adult,323,African-American,Male,Low
adult,80,Caucasian,Male,High
adult,138,African-American,Male,Medium
senior,167,Caucasian,Male,Low
adult,87,African-American,Male,Low
young,546,Hispanic,Male,High
adult,140,African-American,Male,Low
adult,642,African-American,Male,Low
adult,195,African-American,Male,Low
adult,290,African-American,Male,Low
adult,73,Other,Male,Medium
adult,884,African-American,Female,High
adult,446,African-American,Male,Medium
adult,96,Caucasian,Male,Low
young,540,Caucasian,Male,Medium
adult,297,African-American,Male,Low
adult,96,Caucasian,Male,High
adult,235,African-American,Male,Medium
senior,245,African-American,Male,Low
adult,1016,Caucasian,Male,Low
senior,605,African-American,Female,Low
senior,1108,Caucasian,Female,Low
adult,692,Hispanic,Male,Low
young,82,African-American,Male,High
young,895,African-American,Male,Medium
adult,370,Caucasian,Female,Low
young,307,African-American,Male,High
adult,36,African-American,Male,Low
young,58,Caucasian,Male,Medium
senior,604,African-American,Male,Low
adult,521,Hispanic,Male,Low
adult,744,Hispanic,Female,Low
adult,220,African-American,Male,Low
senior,205,Caucasian,Male,Low
adult,783,Hispanic,Male,Low
young,432,African-American,Male,Medium
young,95,Other,Female,Low
adult,327,Caucasian,Male,Low
adult,627,Caucasian,Male,Low
young,231,African-American,Male,High
young,16,African-American,Female,Medium
senior,91,Caucasian,Male,Low
young,909,African-American,Female,Low
young,252,African-American,Male,Medium
adult,493,Caucasian,Female,Low
adult,186,African-American,Male,Low
senior,753,Caucasian,Male,Low
adult,13,Caucasian,Male,Low
adult,765,Caucasian,Male,Medium
adult,894,Caucasian,Male,Low
senior,647,African-American,Male,Low
adult,109,Other,Male,Low
young,375,African-American,Male,High
adult,263,African-American,Male,Low
adult,861,African-American,Male,Low
young,557,African-American,Male,High
adult,170,Other,Female,Low
adult,1000,African-American,Male,High
adult,460,African-American,Male,Low
senior,45,African-American,Male,Medium
young,671,African-American,Male,High
young,243,African-American,Female,Medium
adult,554,Caucasian,Male,Low
adult,509,Caucasian,Female,Low
young,140,African-American,Male,Low
young,105,African-American,Male,High
young,74,Caucasian,Male,Medium
young,258,Caucasian,Male,Medium
adult,48,Hispanic,Male,High
adult,645,African-American,Male,Low
adult,406,African-American,Female,Low
adult,673,African-American,Male,Low
young,582,Caucasian,Male,Medium
young,284,African-American,Male,High
adult,361,African-American,Male,Medium
adult,242,African-American,Female,Low
adult,801,African-American,Male,High
adult,21,Caucasian,Male,Low
adult,19,African-American,Male,High
young,543,Caucasian,Male,Medium
adult,101,African-American,Male,High
senior,299,Caucasian,Male,Low
senior,225,African-American,Male,Low
adult,450,African-American,Male,Low
adult,228,Caucasian,Male,Low
adult,467,Caucasian,Male,Medium
adult,50,African-American,Male,High
adult,338,African-American,Male,Medium
young,907,Caucasian,Male,Medium
adult,572,African-American,Male,Low
adult,553,African-American,Male,Medium
young,416,African-American,Male,Low
adult,596,African-American,Male,Medium
young,26,Caucasian,Male,Low
adult,333,African-American,Male,Low
adult,326,African-American,Male,Low
adult,646,Caucasian,Male,Medium
adult,947,African-American,Male,Low
adult,402,African-American,Male,Low
adult,737,African-American,Male,Medium
young,148,African-American,Male,Medium
adult,96,African-American,Male,Medium
senior,883,African-American,Male,Medium
adult,862,African-American,Male,Medium
young,252,African-American,Male,High
young,275,African-American,Male,High
adult,260,Caucasian,Male,Low
adult,402,Caucasian,Male,Low
young,90,Caucasian,Male,Medium
adult,66,African-American,Male,Medium
adult,284,Hispanic,Male,Low
young,328,African-American,Male,Medium
senior,1056,Caucasian,Male,Low
young,61,African-American,Male,Medium
adult,43,African-American,Male,Low
adult,875,Hispanic,Male,Medium
senior,410,African-American,Male,Low
adult,42,Caucasian,Male,Low
adult,66,Caucasian,Male,Low
young,369,African-American,Male,Medium
adult,718,African-American,Male,Medium
young,382,African-American,Male,High
adult,493,African-American,Male,High
adult,91,African-American,Male,High
senior,524,African-American,Male,Low
adult,205,Caucasian,Male,Medium
adult,452,African-American,Male,Low
adult,273,Caucasian,Male,Low
adult,432,African-American,Male,High
adult,523,African-American,Male,Low
adult,658,African-American,Male,Low
adult,903,Hispanic,Male,Low
adult,259,Other,Male,Medium
young,149,African-American,Male,Medium
adult,255,Caucasian,Male,Medium
senior,454,Caucasian,Male,Medium
adult,565,Caucasian,Male,Medium
adult,198,African-American,Male,Low
adult,109,Caucasian,Male,Medium
adult,530,African-American,Male,Low
young,335,African-American,Male,High
adult,440,African-American,Male,High
adult,584,African-American,Male,Medium
adult,199,African-American,Male,Low
young,152,Caucasian,Male,Medium
young,897,African-American,Female,Medium
young,312,African-American,Male,High
young,135,African-American,Male,Medium
adult,829,African-American,Male,Medium
young,171,African-American,Male,Medium
adult,651,Caucasian,Male,Low
adult,147,Caucasian,Male,Medium
adult,589,African-American,Male,Medium
senior,519,African-American,Male,Low
senior,790,African-American,Male,Low
young,242,Hispanic,Male,Medium
young,214,Caucasian,Female,Medium
adult,49,African-American,Male,Medium
adult,377,Caucasian,Male,Medium
adult,963,Hispanic,Male,Medium
adult,678,African-American,Male,High
young,24,African-American,Male,Medium
adult,166,Caucasian,Male,Low
adult,135,African-American,Male,Low
adult,22,Other,Male,Medium
young,520,African-American,Male,Medium
senior,369,Caucasian,Female,Low
young,295,African-American,Male,Low
adult,172,African-American,Male,Medium
adult,111,Caucasian,Male,Low
adult,570,African-American,Male,High
adult,473,African-American,Male,Medium
senior,275,Caucasian,Male,Low
adult,805,African-American,Male,Medium
adult,337,African-American,Male,Medium
senior,487,Caucasian,Male,Low
young,153,Hispanic,Male,Medium
young,475,African-American,Female,Medium
young,155,African-American,Female,High
adult,3,Caucasian,Male,Low
adult,349,African-American,Male,High
senior,152,Caucasian,Male,Low
adult,155,Caucasian,Male,Low
adult,84,African-American,Male,High
adult,268,Caucasian,Female,Low
adult,311,African-American,Male,Low
adult,1039,African-American,Female,Low
adult,741,African-American,Male,Low
young,303,African-American,Male,Medium
young,25,African-American,Male,High
adult,65,African-American,Male,Medium
adult,284,Hispanic,Male,Low
adult,448,African-American,Female,Low
adult,83,African-American,Male,High
young,542,African-American,Male,High
senior,94,Caucasian,Male,Low
young,313,African-American,Male,Medium
adult,280,African-American,Male,Medium
adult,687,Other,Male,Low
young,816,African-American,Male,High
adult,228,African-American,Male,Medium
young,909,African-American,Male,High
adult,298,African-American,Male,Medium
adult,119,Caucasian,Male,Low
adult,170,African-American,Male,Medium
senior,142,Caucasian,Male,Low
young,654,African-American,Male,Medium
senior,149,Caucasian,Male,Low
adult,111,African-American,Male,Low
adult,84,Other,Male,High
young,772,Caucasian,Male,High
adult,340,African-American,Male,Medium
senior,780,Caucasian,Male,Low
adult,315,Caucasian,Male,Low
adult,219,African-American,Male,High
adult,456,Other,Male,Low
young,579,Caucasian,Male,High
adult,200,African-American,Female,Low
adult,121,Caucasian,Male,Low
adult,339,Caucasian,Female,Medium
senior,795,Caucasian,Male,Medium
young,734,African-American,Male,Medium
young,270,Hispanic,Male,High
adult,454,African-American,Male,Medium
young,177,African-American,Male,Medium
adult,293,Caucasian,Male,Low
adult,564,Hispanic,Female,Low
young,238,African-American,Male,Low
adult,375,African-American,Female,Low
adult,45,African-American,Male,Medium
young,284,African-American,Male,High
adult,533,African-American,Male,Medium
adult,260,African-American,Male,Low
senior,529,Other,Male,Low
senior,890,Other,Male,Low
adult,639,African-American,Male,Medium
adult,628,African-American,Male,Medium
adult,124,Hispanic,Male,Low
adult,227,Caucasian,Male,Low
senior,623,African-American,Female,Low
senior,4300,African-American,Male,Low
senior,53,African-American,Male,Low
senior,215,African-American,Male,Low
adult,431,Caucasian,Female,Medium
adult,377,African-American,Female,Low
senior,172,African-American,Male,Low
young,376,African-American,Male,High
young,187,African-American,Male,High
senior,34,Caucasian,Female,Low
adult,183,African-American,Male,Low
young,133,African-American,Male,High
senior,152,African-American,Male,Low
adult,473,African-American,Female,Low
young,60,African-American,Male,High
young,797,African-American,Male,Medium
young,481,Caucasian,Male,High
adult,318,African-American,Male,High
adult,184,African-American,Male,Low
adult,115,African-American,Male,Low
adult,857,Other,Female,Low
adult,663,Caucasian,Male,Medium
adult,1372,Hispanic,Male,Low
senior,127,Hispanic,Male,Low
adult,120,African-American,Male,Low
adult,510,African-American,Male,Low
adult,13,African-American,Male,High
young,233,African-American,Male,Medium
adult,493,Hispanic,Male,Low
adult,183,African-American,Female,Low
senior,259,Caucasian,Male,Low
adult,336,Hispanic,Female,Low
adult,91,African-American,Male,Medium
adult,131,Caucasian,Male,Low
adult,1102,African-American,Male,Medium
adult,63,African-American,Male,High
young,1689,African-American,Male,High
adult,508,African-American,Male,High
adult,968,African-American,Male,Medium
adult,892,African-American,Male,Low
young,286,African-American,Female,Medium
adult,558,Caucasian,Female,Low
senior,583,African-American,Male,High
adult,193,Hispanic,Male,Low
adult,97,Other,Male,Low
adult,136,Caucasian,Male,Low
adult,828,Other,Male,Low
young,461,African-American,Male,High
adult,66,Hispanic,Male,Low
adult,251,African-American,Male,Low
adult,1006,African-American,Male,Medium
adult,108,African-American,Male,High
young,374,African-American,Female,Low
adult,634,Other,Male,Low
adult,190,African-American,Male,Low
adult,327,Caucasian,Female,Low
adult,415,Caucasian,Male,Low
young,37,African-American,Male,Medium
adult,489,Caucasian,Female,Low
adult,336,Caucasian,Male,Low
adult,446,Hispanic,Male,Low
young,85,Hispanic,Male,Low
adult,465,Caucasian,Male,Low
senior,8,African-American,Male,Medium
young,346,African-American,Male,Medium
adult,111,African-American,Female,Low
adult,237,African-American,Male,Low
young,62,African-American,Male,High
young,25,African-American,Male,Low
young,343,African-American,Male,High
senior,96,African-American,Male,Low
adult,344,Caucasian,Male,Low
young,178,African-American,Male,Medium
young,181,Asian,Male,High
adult,66,Caucasian,Female,Medium
adult,217,African-American,Male,Medium
adult,556,African-American,Male,Low
senior,671,African-American,Male,Low
adult,351,African-American,Female,Low
adult,743,Caucasian,Male,Medium
young,85,African-American,Male,Medium
adult,42,Caucasian,Male,Low
adult,351,Caucasian,Female,Low
senior,947,African-American,Male,Low
young,92,African-American,Male,Medium
young,371,African-American,Male,Medium
adult,552,African-American,Male,High
adult,348,African-American,Male,Low
young,139,African-American,Male,High
adult,695,African-American,Female,Low
young,4,African-American,Male,Medium
adult,112,Caucasian,Male,Low
young,406,African-American,Male,High
adult,390,African-American,Male,Low
adult,635,African-American,Male,Low
young,555,African-American,Male,Medium
adult,357,Caucasian,Male,Low
adult,336,African-American,Male,Medium
senior,459,Caucasian,Male,Low
senior,116,Caucasian,Male,Low
young,347,Native American,Female,Medium
adult,200,African-American,Male,High
adult,405,African-American,Male,High
adult,264,African-American,Male,Low
young,128,African-American,Female,Low
senior,677,Hispanic,Male,Low
adult,734,African-American,Female,Low
adult,843,African-American,Male,Medium
adult,290,African-American,Female,Low
adult,373,African-American,Male,Low
adult,60,African-American,Male,High
senior,71,Caucasian,Male,Low
adult,126,African-American,Male,Medium
adult,65,Caucasian,Female,Low
adult,274,African-American,Male,Medium
adult,934,African-American,Male,Low
adult,56,African-American,Male,Low
adult,382,Native American,Female,Low
young,229,African-American,Male,Medium
adult,278,Other,Male,Medium
adult,416,Caucasian,Male,Low
young,17,African-American,Female,Low
young,486,African-American,Male,Medium
senior,523,African-American,Male,Medium
young,31,African-American,Male,Medium
adult,65,African-American,Male,Medium
senior,32,Caucasian,Female,Low
adult,730,African-American,Male,Medium
adult,725,Other,Male,Low
adult,665,Caucasian,Male,Low
young,217,African-American,Male,Medium
adult,252,African-American,Male,Low
adult,926,African-American,Male,Medium
senior,741,African-American,Male,High
adult,337,Caucasian,Male,Low
